id,coord,name,admin_region_id,admin_region_name,admin_region_zip_code,admin_region_insee
stop_area:SNCF:87296459,"{'lat': '49.580462', 'lon': '3.120725'}",Appilly,admin:fr:60021,Appilly,60400,60021
stop_area:SNCF:87582726,"{'lat': '44.674373', 'lon': '-0.39551'}",Arbanats,admin:fr:33007,Arbanats,33640,33007
stop_area:SNCF:87718155,"{'lat': '46.912467', 'lon': '5.764837'}",Arbois,admin:fr:39013,Arbois,39600,39013
stop_area:SNCF:87704320,"{'lat': '48.897839', 'lon': '2.561449'}",Arboretum-T4,admin:fr:93047,Montfermeil,93370,93047
stop_area:SNCF:87718841,"{'lat': '47.030473', 'lon': '5.77683'}",Arc-et-Senans,admin:fr:25021,Arc-et-Senans,25610,25021
stop_area:SNCF:87582668,"{'lat': '44.658967', 'lon': '-1.165323'}",Arcachon,admin:fr:33009,Arcachon,33120,33009
stop_area:SNCF:87144410,"{'lat': '48.118896', 'lon': '6.528105'}",Arches Gare,admin:fr:88011,Arches,88380,88011
stop_area:SNCF:87758672,"{'lat': '48.798451', 'lon': '2.327964'}",Arcueil-Cachan,admin:fr:94016,Cachan,94230,94016
stop_area:SNCF:87683680,"{'lat': '47.600873', 'lon': '3.766638'}",Arcy-sur-Cure,admin:fr:89015,Arcy-sur-Cure,89270,89015
stop_area:SNCF:87671479,"{'lat': '44.007044', 'lon': '-0.809053'}",Arengosse,admin:fr:40006,Arengosse,40110,40006
stop_area:SNCF:87671743,"{'lat': '43.001111', 'lon': '-0.098889'}",Argelès-Gazost,admin:fr:65025,Argelès-Gazost,65400,65025
stop_area:SNCF:87176933,"{'lat': '43.00497', 'lon': '-0.100474'}",Argelès-Gazost Cordée,admin:fr:65025,Argelès-Gazost,65400,65025
stop_area:SNCF:87784231,"{'lat': '42.543908', 'lon': '3.021919'}",Argelès-sur-Mer,admin:fr:66008,Argelès-sur-Mer,66700,66008
stop_area:SNCF:87314526,"{'lat': '47.560036', 'lon': '2.447838'}",Argent-sur-Sauldre,admin:fr:18011,Argent-sur-Sauldre,18410,18011
stop_area:SNCF:87444539,"{'lat': '48.738545', 'lon': '-0.025291'}",Argentan,admin:fr:61006,Argentan,61200,61006
stop_area:SNCF:87381848,"{'lat': '48.94686', 'lon': '2.25727'}",Argenteuil,admin:fr:95018,Argenteuil,95100,95018
stop_area:SNCF:87746859,"{'lat': '45.981944', 'lon': '6.926484'}",Argentière,admin:fr:74056,Chamonix-Mont-Blanc,74400,74056
stop_area:SNCF:87741272,"{'lat': '45.493232', 'lon': '6.313534'}",Argentine,admin:fr:73019,Argentine,73220,73019
stop_area:SNCF:87697151,"{'lat': '45.493131', 'lon': '6.313834'}",Argentine-Gemelly-ou-Stade,admin:fr:73019,Argentine,73220,73019
stop_area:SNCF:87697144,"{'lat': '45.502072', 'lon': '6.318651'}",Argentine-La-Combe,admin:fr:73019,Argentine,73220,73019
stop_area:SNCF:87597120,"{'lat': '46.59225', 'lon': '1.518256'}",Argenton-sur-Creuse,admin:fr:36006,Argenton-sur-Creuse,36200,36006
stop_area:SNCF:87201566,"{'lat': '46.589025', 'lon': '1.51901'}",Argenton-sur-Creuse LEP,admin:fr:36006,Argenton-sur-Creuse,36200,36006
stop_area:SNCF:87495721,"{'lat': '48.708295', 'lon': '2.37133'}",Aristide Briand,admin:fr:91479,Paray-Vieille-Poste,91550,91479
stop_area:SNCF:87734590,"{'lat': '45.413229', 'lon': '3.724574'}",Arlanc Place de l'église,admin:fr:63010,Arlanc,63220,63010
stop_area:SNCF:87753657,"{'lat': '43.684863', 'lon': '4.632105'}",Arles,admin:fr:13004,Arles,13200,13004
stop_area:SNCF:87345421,"{'lat': '50.286249', 'lon': '3.12071'}",Arleux,admin:fr:59015,Arleux,59151,59015
stop_area:SNCF:87286146,"{'lat': '50.680807', 'lon': '2.877546'}",Armentières,admin:fr:59017,Armentières,59280,59017
stop_area:SNCF:87396549,"{'lat': '47.928575', 'lon': '0.189954'}",Arnage,admin:fr:72008,Arnage,72230,72008
stop_area:SNCF:87360339,"{'lat': '47.928351', 'lon': '0.185308'}",Arnage Avenue Nationale,admin:fr:72008,Arnage,72230,72008
stop_area:SNCF:87281121,"{'lat': '50.831509', 'lon': '2.408468'}",Arnèke,admin:fr:59018,Arnèke,59285,59018
